time;Tac;hs;u;Rg;Tsoil;
2019-01-09 17:00;9.29;28.47;3.084;239.1666667;24.29;
2019-01-09 18:00;8.08;31.6;2.817;56.77777778;14.08;
2019-01-09 19:00;7.14;38.8;1.737;3.094444444;12.14;
2019-01-09 20:00;6.072;42.07;1.341;0;10.072;
2019-01-09 21:00;6.005;45.53;1.366;0;9.005;
2019-01-09 22:00;5.53;46.62;1.339;0;8.53;
2019-01-09 23:00;4.858;45.47;0.912;0;7.858;
2019-01-10 00:00;5.468;44.72;1.402;0;8.468;
2019-01-10 01:00;5.266;38.95;1.301;0;8.266;
2019-01-10 02:00;5.064;41.06;0.317;0;8.064;
2019-01-10 03:00;5.206;33.53;0.241;0;8.206;
2019-01-10 04:00;5.206;33.73;1.295;0;8.206;
2019-01-10 05:00;5.541;33.32;1.66;0;8.541;
2019-01-10 06:00;5.741;33.25;1.691;0;8.741;
2019-01-10 07:00;5.538;33.93;0.786;0;8.538;
2019-01-10 08:00;4.525;39.3;0.453;0;7.525;
2019-01-10 09:00;4.731;37.94;0.33;0;7.731;
2019-01-10 10:00;5.681;33.53;0.835;12.83055556;15.681;
2019-01-10 11:00;7.03;32.64;1.034;95.11111111;22.03;
2019-01-10 12:00;8.03;29.65;1.219;283.3333333;28.03;
2019-01-10 13:00;8.83;29.43;1.332;393.8888889;28.83;
2019-01-10 14:00;9.16;29.22;1.019;432.5;29.16;
2019-01-10 15:00;9.55;28.27;1.383;419.1666667;29.55;
2019-01-10 16:00;9.82;28.4;0.712;346.3888889;29.82;
2019-01-10 17:00;9.01;30.44;0.442;226.1111111;24.01;
2019-01-10 18:00;7.26;32.95;0.452;78.91666667;13.26;
2019-01-10 19:00;5.519;36.29;0.352;1.788888889;10.519;
2019-01-10 20:00;4.311;39.56;0.042;0;8.311;
2019-01-10 21:00;2.762;43.44;0;0;5.762;
2019-01-10 22:00;0.943;52.69;0;0;3.943;
2019-01-10 23:00;1.623;49.97;0;0;4.623;
2019-01-11 00:00;1.147;56.22;0;0;4.147;
2019-01-11 01:00;0.604;52.55;0.005;0;3.604;
2019-01-11 02:00;1.352;53.64;0.117;0;4.352;
2019-01-11 03:00;0.604;50.86;0.128;0;3.604;
2019-01-11 04:00;0.265;51.47;0.006;0;3.265;
2019-01-11 05:00;-0.202;52.97;0.005;0;2.798;
2019-01-11 06:00;0.007;55.36;0.004;0;3.007;
2019-01-11 07:00;-0.672;55.09;0;0;2.328;
2019-01-11 08:00;-1.827;63.44;0;0;1.173;
2019-01-11 09:00;-1.203;56.46;0;0;1.797;
2019-01-11 10:00;0.553;47.62;0.144;15.93611111;10.553;
2019-01-11 11:00;3.327;43.06;0.097;105.7777778;18.327;
2019-01-11 12:00;6.019;33.26;0.109;300.8333333;26.019;
2019-01-11 13:00;8.57;23.27;0.269;401.3888889;28.57;
2019-01-11 14:00;9.36;18.92;0.434;462.7777778;29.36;
2019-01-11 15:00;9.42;18.64;0.804;389.1666667;29.42;
2019-01-11 16:00;10.24;15.05;0.699;317.5;30.24;
2019-01-11 17:00;9.62;14.71;0.882;284.1666667;24.62;
2019-01-11 18:00;8.21;16.75;0.524;95.41666667;14.21;
2019-01-11 19:00;6.463;25.3;0.169;3.933333333;11.463;
2019-01-11 20:00;4.783;31.21;0.042;0;8.783;
2019-01-11 21:00;5.001;35.7;0.535;0;8.001;
2019-01-11 22:00;4.46;42.15;0.568;0;7.46;
2019-01-11 23:00;2.355;47.17;0.005;0;5.355;
2019-01-12 00:00;1.553;55.95;0;0;4.553;
2019-01-12 01:00;0.74;60.84;0;0;3.74;
2019-01-12 02:00;0.202;65.53;0;0;3.202;
2019-01-12 03:00;-1.148;68.81;0;0;1.852;
2019-01-12 04:00;5.835;54.66;0.923;0;8.835;
2019-01-12 05:00;6.225;55.25;1.927;0;9.225;
2019-01-12 06:00;6.482;55.58;2.259;0;9.482;
2019-01-12 07:00;6.48;55.98;2.164;0;9.48;
2019-01-12 08:00;6.141;56.52;1.37;0;9.141;
2019-01-12 09:00;6.276;56.18;1.442;0;9.276;
2019-01-12 10:00;6.819;54.22;1.434;11.675;16.819;
2019-01-12 11:00;9.06;47.29;1.78;97.94444444;24.06;
2019-01-12 12:00;10.8;42.19;1.868;274.4444444;30.8;
2019-01-12 13:00;12.14;40.41;1.826;388.0555556;32.14;
2019-01-12 14:00;12.93;35.99;1.959;430.2777778;32.93;
2019-01-12 15:00;14.41;29.82;1.166;415.5555556;34.41;
2019-01-12 16:00;14.13;30.49;1.139;349.4444444;34.13;
2019-01-12 17:00;12.38;32.39;1.402;233.3333333;27.38;
2019-01-12 18:00;10.43;36.19;1.873;89.52777778;16.43;
2019-01-12 19:00;9.02;39.67;1.224;2.916666667;14.02;
2019-01-12 20:00;8.57;44.16;0.732;0;12.57;
2019-01-12 21:00;7.82;47.21;0.683;0;10.82;
2019-01-12 22:00;8.24;44.37;1.05;0;11.24;
2019-01-12 23:00;7.83;48.51;0.451;0;10.83;
2019-01-13 00:00;8.71;51.83;2.116;0;11.71;
2019-01-13 01:00;9.04;48.91;2.523;0;12.04;
